Comment,Designator,Footprint,Manufacturer,Manufacturer Part Number,LCSC Part #
LMR36510ADDAR,U1,Leaf:LMR36510_DDA_FilledCapped_G5__Factory,Texas Instruments,LMR36510ADDAR,C1858393
22uH / 3.3A sat,L1,Leaf:L_Bourns_SRN6045TA__Factory,Bourns,SRN6045TA-220M,C2044314
ESP32-C3-WROOM-02U-N4,U2,Leaf:ESP32-C3-WROOM-02U_FilledCapped_G5__Factory,Espressif,ESP32-C3-WROOM-02U-N4,C2926676
USBLC6-2SC6 / UART ESD,U4,Leaf:SOT-23-6__Factory,STMicroelectronics,USBLC6-2SC6,C7519
TPS3760A012DYYR,U5,Leaf:TI_DYY0014A__Factory,Texas Instruments,TPS3760A012DYYR,C5218894
TMUX1511PWR,U6,Leaf:TSSOP-14_4.4x5mm_P0.65mm__Factory,Texas Instruments,TMUX1511PWR,C2866750
