Item,Designator,Quantity,Manufacturer,Manufacturer Part Number,Description / Value,Footprint,Notes
1,U1,1,Texas Instruments,LMR36510ADDAR,LMR36510ADDAR,Leaf:Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias__Factory,FACTORY FIT. Only U1 U2 U4 L1 are factory-assembled; all other parts customer-fitted.
2,L1,1,Bourns,SRN6045TA-220M,22uH / 3.3A sat,Leaf:L_Bourns_SRN6045TA__Factory,FACTORY FIT. Only U1 U2 U4 L1 are factory-assembled; all other parts customer-fitted.
3,U2,1,Espressif,ESP32-C3-WROOM-02-N4,ESP32-C3-WROOM-02-N4,Leaf:ESP32-C3-WROOM-02_0p3mm_Vias__Factory,FACTORY FIT. Only U1 U2 U4 L1 are factory-assembled; all other parts customer-fitted.
4,U4,1,STMicroelectronics,USBLC6-2SC6,USBLC6-2SC6 / UART ESD,Leaf:SOT-23-6__Factory,FACTORY FIT. Only U1 U2 U4 L1 are factory-assembled; all other parts customer-fitted.
