Mouser Part Number,Manufacturer Part Number,Manufacturer,Quantity,Required for two boards,Spare Quantity,Workshop Quantity,PCB references / purpose,Description,Unit Price NOK,Line Total NOK,Supplier lifecycle flag,Availability observed in Chrome
603-RC1206FR-07470KL,RC1206FR-07470KL,YAGEO,4,2,2,0,RevG-R25,"Thick Film Resistors - SMD General Purpose Chip Resistor 1206, 470kOhms, 1%, 1/4W",0.96,3.84,Not stated,All requested units Dispatches Now (2026-09-14)
611-PTS645SL432,PTS645SL43-2 LFS,C&K Switches,4,4,0,0,"RevG-SW1,SW2",Tactile Switches PTS645SL43-2 LFS,2.59,10.36,Not stated,All requested units Dispatches Now (2026-09-14)
538-146153-0300,146153-0300,Molex,2,2,0,0,RevG3-ANT1,Antennas 2.4/5G dual band Flex*300mm assy,35.38,70.76,Not stated,All requested units Dispatches Now (2026-09-14)
895-TTL-232R-RPI,TTL-232R-RPI,FTDI,1,0,0,1,3.3 V USB-to-UART programming cable; USB-A; three individual female connectors,USB Cables / IEEE 1394 Cables Raspberry Pi USB to TTL Serial UART Cbl,214.05,214.05,Not stated,All requested units Dispatches Now (2026-09-14)
910-CQ4LF,CQ4LF,Chip Quik,1,0,0,1,10 ml no-clean flux pen,Soldering Flux Liquid Flux No-Clean in 10ml Pen w/tip,76.33,76.33,Not stated,All requested units Dispatches Now (2026-09-14)
910-CQ-ESD-12,CQ-ESD-12,Chip Quik,1,0,0,1,Fine straight ESD tweezers,Pliers & Tweezers ESD Tweezers CQ-ESD-12 for Precision Electronic Assembly,48.21,48.21,New Product,All requested units Dispatches Now (2026-09-14)
5878-80-2-5,80-2-5,Chemtronics,1,0,0,1,1.5 mm desoldering braid,"Desoldering Braid / Solder Removal .06"" YELLOW",69.19,69.19,Not stated,All requested units Dispatches Now (2026-09-14)
910-SMDSWLF.0201OZ,SMDSWLF.020 1oz,Chip Quik,1,0,0,1,0.5 mm SAC305 lead-free solder wire; 1 oz reel; 2.2% flux core,Solder Solder Wire 96.5Sn/ 3Ag/.5Cu .020 1oz.,110.15,110.15,Not stated,All requested units Dispatches Now (2026-09-14)
485-1950,1950,Adafruit,1,0,0,1,Pack of 20 female/female 150 mm jumper wires,Adafruit Accessories Premium Female/Female Jumper Wires - 20 x 6 (150mm),18.75,18.75,Not stated,All requested units Dispatches Now (2026-09-14)
424-240-137,240-137,Digilent,1,0,0,1,Pack of five mini-grabber clips with attached leads,Test Leads Mini Grabbers with Leads Product Kit,109.81,109.81,Not stated,All requested units Dispatches Now (2026-09-14)
